103,<某种>,Eryngium leavenworthii,莱氏刺芹,Eryngium leavenworthii,None,None
104,扁叶刺芹,Eryngium planum,扁叶刺芹,Eryngium planum,扁叶刺芹,Eryngium planum
105,丝兰叶刺芹,Eryngium yuccifolium,丝兰叶刺芹,Eryngium yuccifolium,None,None
106,薄片变豆菜,Sanicula lamelligera,薄片变豆菜,Sanicula lamelligera,薄片变豆菜,Sanicula lamelligera
107,直刺变豆菜,Sanicula orthacantha,直刺变豆菜,Sanicula orthacantha,直刺变豆菜,Sanicula orthacantha
108,白芷,Angelica dahurica,白芷,Angelica dahurica,白芷,Angelica dahurica
109,紫花前胡,Angelica decursiva,紫花前胡,Angelica decursiva,紫花前胡,Angelica decursiva
110,拐芹,Angelica polymorpha,拐芹,Angelica polymorpha,拐芹,Angelica polymorpha
111,明党参,Changium smyrnioides,明党参,Changium smyrnioides,明党参,Changium smyrnioides
112,大星芹,Astrantia major,大星芹,Astrantia major,None,None
113,黑柴胡,Bupleurum smithii,黑柴胡,Bupleurum smithii,黑柴胡,Bupleurum smithii
114,欧防风,Pastinaca sativa,欧防风,Pastinaca sativa,欧防风,Pastinaca sativa
115,毒参,Conium maculatum,毒参,Conium maculatum,毒参,Conium maculatum
116,水芹,Oenanthe javanica,水芹,Oenanthe javanica,水芹,Oenanthe javanica
117,川白芷,Heracleum maximum,川白芷,Heracleum maximum,None,None
118,珊瑚菜,Glehnia littoralis,珊瑚菜,Glehnia littoralis,珊瑚菜,Glehnia littoralis
119,积雪草,Centella asiatica,积雪草,Centella asiatica,积雪草,Centella asiatica
120,<某种>,Torilis arvensis,None,Torilis arvensis,None,None
121,窃衣,Torilis scabra,窃衣,Torilis scabra,窃衣,Torilis scabra
122,野胡萝卜,Daucus carota,野胡萝卜,Daucus carota,野胡萝卜,Daucus carota
123,胡萝卜,Daucus carota var. sativa,胡萝卜,Daucus carota var. sativa,None,None
124,芫荽,Coriandrum sativum,芫荽,Coriandrum sativum,芫荽,Coriandrum sativum
125,旱芹,Apium graveolens,旱芹,Apium graveolens,旱芹,Apium graveolens
126,茴香,Foeniculum vulgare,茴香,Foeniculum vulgare,茴香,Foeniculum vulgare
127,蛇床,Cnidium monnieri,蛇床,Cnidium monnieri,蛇床,Cnidium monnieri
128,<某种>,Zizia aurea,金防风,Zizia aurea,None,None
129,使君子,Quisqualis indica,使君子,Quisqualis indica,None,Quisqualis indica
130,阿江榄仁,Terminalia arjuna,阿江榄仁,Terminalia arjuna,None,None
131,榄仁树,Terminalia catappa,榄仁树,Terminalia catappa,榄仁,Terminalia catappa
132,海南榄仁,Terminalia nigrovenulosa,海南榄仁,Terminalia nigrovenulosa,海南榄仁,Terminalia nigrovenulosa
133,风车子,Combretum alfredii,风车子,Combretum alfredii,风车子,Combretum alfredii
134,泰国粉扑藤,Combretum constrictum,泰国粉扑藤,Combretum constrictum,None,None
