Acrobolbus,顶苞苔属
Scrophularia diplodonta,重齿玄参
Scrophularia elatior,高玄参
Scrophularia fargesii,长梗玄参
Scrophularia formosana,台湾玄参
Scrophularia henryi,鄂西玄参
Scrophularia heucheriiflora,新疆玄参
Scrophularia hypsophila,高山玄参
Scrophularia incisa,砾玄参
Scrophularia jinii,大齿玄参
Scrophularia kakudensis,丹东玄参
Scrophularia kansuensis,甘肃玄参
Scrophularia kiriloviana,羽裂玄参
Scrophularia lhasaensis,拉萨玄参
Scrophularia lijiangensis,丽江玄参
Scrophularia macrocarpa,大果玄参
Scrophularia mandarinorum,单齿玄参
Scrophularia mapienensis,马边玄参
Scrophularia modesta,山西玄参
Scrophularia moellendorffii,华北玄参
Scrophularia nankinensis,南京玄参
Scrophularia ningpoensis,玄参
Scrophularia pauciflora,轮花玄参
Scrophularia przewalskii,青海玄参
Scrophularia souliei,小花玄参
Scrophularia spicata,穗花玄参
Scrophularia stylosa,长柱玄参
Scrophularia taihangshanensis,太行山玄参
Scrophularia umbrosa,翅茎玄参
Scrophularia urticifolia,荨麻叶玄参
Scrophularia yoshimurae,双锯叶玄参
Scrophularia yunnanensis,云南玄参
Verbascum blattaria,毛瓣毛蕊花
Verbascum chaixii,疏毛毛蕊花
Verbascum chaixii subsp. orientale,东方毛蕊花
Verbascum chinense,琴叶毛蕊花
Verbascum phoeniceum,紫毛蕊花
Verbascum songaricum,准噶尔毛蕊花
Verbascum thapsus,毛蕊花
Ailanthus,臭椿属
Brucea,鸦胆子属
Picrasma,苦木属
Ailanthus altissima,臭椿
Ailanthus altissima var. sutchuenensis,大果臭椿
Ailanthus altissima var. tanakai,台湾臭椿
Ailanthus fordii,常绿臭椿
Ailanthus giraldii,毛臭椿
Ailanthus guangxiensis,广西臭椿
Ailanthus triphysa,岭南臭椿
Ailanthus vilmoriniana,刺臭椿
Ailanthus vilmoriniana var. henanensis,赤叶刺臭椿
Brucea javanica,鸦胆子
Brucea mollis,柔毛鸦胆子
Picrasma chinensis,中国苦木
Picrasma quassioides,苦木
Picrasma quassioides var. glabrescens,光序苦木
Sladenia,肋果茶属
Sladenia celastrifolia,肋果茶
Sladenia integrifolia,全缘肋果茶
Smilax,菝葜属
Smilax aberrans,弯梗菝葜
Smilax arisanensis,尖叶菝葜
Smilax aspera,穗菝葜
Smilax aspericaulis,疣枝菝葜
Smilax astrosperma,灰叶菝葜
Smilax austrozhejiangensis,浙南菝葜
Smilax bapouensis,巴坡菝葜
Smilax basilata,少花菝葜
Smilax bauhinioides,圆叶菝葜
Smilax binchuanensis,云南肖菝葜
Smilax biumbellata,西南菝葜
Smilax bracteata,圆锥菝葜
Smilax chapaensis,密疣菝葜
Smilax china,菝葜
Smilax chinensis,华肖菝葜
Smilax chingii,柔毛菝葜
Smilax cocculoides,银叶菝葜
Smilax corbularia,筐条菝葜
Smilax corbularia var. corbularia,筐条菝葜(原变种)
Smilax corbularia var. woodii,光叶菝葜
Smilax cyclophylla,合蕊菝葜
Smilax darrisii,平滑菝葜
Smilax davidiana,小果菝葜
Smilax densibarbata,密刺菝葜
Smilax discotis,托柄菝葜
Smilax elegans,西藏菝葜
Smilax elegantissima,四棱菝葜
Smilax elongatoumbellata,台湾菝葜
Smilax emeiensis,峨眉菝葜
Smilax ferox,长托菝葜
Smilax fooningensis,富宁菝葜
Smilax gagnepainii,四翅菝葜
Smilax gaudichaudiana,合丝肖菝葜
Smilax glabra,土茯苓
Smilax glaucochina,黑果菝葜
Smilax griffithii,墨脱菝葜
Smilax guiyangensis,花叶菝葜
Smilax hayatae,菱叶菝葜
Smilax hemsleyana,束丝菝葜
Smilax hirtellicaulis,毛茎菝葜
Smilax horridiramula,刺枝菝葜
Smilax hypoglauca,粉背菝葜
Smilax japonica,肖菝葜
Smilax kwangsiensis,缘毛菝葜
Smilax kwangsiensis var. kwangsiensis,缘毛菝葜(原变种)
Smilax kwangsiensis var. setulosa,小刚毛菝葜
Smilax lanceifolia,马甲菝葜
Smilax lebrunii,粗糙菝葜
Smilax ligneoriparia,木本牛尾菜
Smilax longebracteolata,长苞菝葜
Smilax longiflora,长花肖菝葜
Smilax luei,及缘脉菝葜
Smilax lunglingensis,马钱叶菝葜
Smilax lushuiensis,泸水菝葜
Smilax mairei,无刺菝葜
Smilax malipoensis,麻栗坡菝葜
Smilax megacarpa,大果菝葜
Smilax megalantha,大花菝葜
Smilax menispermoidea,防己叶菝葜
Smilax micrandra,小花肖菝葜
Smilax microphylla,小叶菝葜
Smilax munita,劲直菝葜
Smilax myrtillus,乌饭叶菝葜
Smilax nana,矮菝葜
Smilax nantoensis,南投菝葜
Smilax nervomarginata,缘脉菝葜
Smilax nervomarginata var. liukiuensis,无疣菝葜
Smilax nervomarginata var. nervomarginata,缘脉菝葜(原变种)
Smilax nigrescens,黑叶菝葜
Smilax nipponica,白背牛尾菜
Smilax ocreata,抱茎菝葜
Smilax outanscianensis,武当菝葜
Smilax ovalifolia,卵叶菝葜
Smilax pachysandroides,厚蕊菝葜
Smilax perfoliata,穿鞘菝葜
Smilax pinfaensis,平伐菝葜
Smilax planipes,扁柄菝葜
Smilax polyandra,多蕊肖菝葜
Smilax polycolea,红果菝葜
Smilax pottingeri,纤柄菝葜
Smilax pygmaea,峦大菝葜
Smilax quadrata,方枝菝葜
Smilax retroflexa,苍白菝葜
Smilax riparia,牛尾菜
Smilax riparia var. acuminata,尖叶牛尾菜
Smilax riparia var. pubescens,毛牛尾菜
Smilax riparia var. riparia,牛尾菜(原变种)
Smilax scobinicaulis,短梗菝葜
Smilax seisuiensis,台湾肖菝葜
Smilax septemnervia,短柱肖菝葜
Smilax setiramula,密刚毛菝葜
Smilax sieboldii,华东菝葜
Smilax stans,鞘柄菝葜
Smilax synandra,简被菝葜
Smilax trachypoda,糙柄菝葜
Smilax trinervula,三脉菝葜
Smilax tsinchengshanensis,青城菝葜
Smilax vanchingshanensis,梵净山菝葜
Smilax yunnanensis,云南菝葜
Alkekengi,酸浆属
Anisodus,山莨菪属
Archiphysalis,地海椒属
Atropa,颠茄属
Atropanthe,天蓬子属
Brugmansia,木曼陀罗属
Brunfelsia,鸳鸯茉莉属
Capsicum,辣椒属
Cestrum,夜香树属
Cyphomandra,树番茄属
Datura,曼陀罗属
Hyoscyamus,天仙子属
Lycianthes,红丝线属
Lycium,枸杞属
Mandragora,茄参属
Nicandra,假酸浆属
Nicotiana,烟草属
Petunia,矮牵牛属
Physaliastrum,散血丹属
Physalis,洋酸浆属
Physochlaina,脬囊草属
Przewalskia,马尿脬属
Solanum,茄属
Tubocapsicum,龙珠属
Withania,睡茄属
Alkekengi officinarum,酸浆
Alkekengi officinarum var. franchetii,挂金灯
Alkekengi officinarum var. officinarum,酸浆(原变种)
Anisodus acutangulus,三分三
Anisodus acutangulus var. acutangulus,三分三(原变种)
Anisodus acutangulus var. breviflorus,三分七
Anisodus carniolicoides,赛莨菪
Anisodus luridus,铃铛子
Anisodus tanguticus,山莨菪
Archiphysalis chamaesarachoides,广西地海椒
Archiphysalis sinensis,地海椒
Atropa belladonna,颠茄
Atropanthe sinensis,天蓬子
Brugmansia suaveolens,大花木曼陀罗
Brunfelsia brasiliensis subsp. macrocalyx,鸳鸯茉莉
Brunfelsia macrophylla,大叶鸳鸯茉莉
Brunfelsia pauciflora,少花鸳鸯茉莉
Capsicum annuum,辣椒
Cestrum aurantiacum,黄花夜香树
Cestrum elegans,瓶子花
Cestrum nocturnum,夜香树
Cyphomandra betacea,树番茄
Datura innoxia,毛曼陀罗
Datura metel,洋金花
Datura stramonium,曼陀罗
Hyoscyamus niger,天仙子
Hyoscyamus pusillus,中亚天仙子
Lycianthes biflora,红丝线
Lycianthes biflora var. biflora,红丝线(原变种)
Lycianthes biflora var. subtusochracea,密毛红丝线
Lycianthes hupehensis,鄂红丝线
Lycianthes laevis,缺齿红丝线
Lycianthes lysimachioides,单花红丝线
Lycianthes lysimachioides var. caulorhiza,茎根红丝线
Lycianthes lysimachioides var. lysimachioides,单花红丝线(原变种)
Lycianthes lysimachioides var. sinensis,中华红丝线
Lycianthes macrodon,大齿红丝线
Lycianthes marlipoensis,麻栗坡红丝线
Lycianthes neesiana,截齿红丝线
Lycianthes shunningensis,顺宁红丝线
Lycianthes solitaria,单果红丝线
Lycianthes yunnanensis,滇红丝线
Lycium amarum,苦味枸杞
Lycium barbarum,宁夏枸杞
Lycium barbarum var. auranticarpum,黄果枸杞
Lycium barbarum var. barbarum,宁夏枸杞(原变种)
Lycium barbarum var. implicatum,密枝枸杞
Lycium chinense,枸杞
Lycium chinense var. chinense,枸杞(原变种)
Lycium chinense var. potaninii,北方枸杞
Lycium cylindricum,柱筒枸杞
Lycium dasystemum,新疆枸杞
Lycium ningxiaense,小叶黄果枸杞
Lycium qingshuiheense,清水河枸杞
Lycium ruthenicum,黑果枸杞
Lycium truncatum,截萼枸杞
Lycium yunnanense,云南枸杞
Mandragora caulescens,茄参
Nicandra physalodes,假酸浆
Nicotiana alata,花烟草
Nicotiana glauca,光烟草
Nicotiana rustica,黄花烟草
Nicotiana tabacum,烟草
Petunia hybrida,矮牵牛
Physaliastrum echinatum,日本散血丹
Physaliastrum heterophyllum,江南散血丹
Physaliastrum japonicum var. occultibaccum,隐果散血丹
Physaliastrum kweichouense,散血丹
Physaliastrum sinicum,华北散血丹
Physaliastrum yunnanense,云南散血丹
Physalis angulata,苦蘵
Physalis cordata,棱萼酸浆
Physalis minima,小酸浆
Physalis peruviana,灯笼果
Physalis philadelphica,毛酸浆
Physalis pumila,矮酸浆
Physochlaina capitata,伊犁脬囊草
Physochlaina infundibularis,漏斗脬囊草
Physochlaina macrocalyx,长萼脬囊草
Physochlaina macrophylla,大叶脬囊草
Physochlaina physaloides,脬囊草
Physochlaina praealta,西藏脬囊草
Przewalskia tangutica,马尿脬
Solanum aculeatissimum,喀西茄
Solanum aethiopicum,红茄
Solanum americanum,少花龙葵
Solanum angustifolium,狭叶茄
Solanum barbisetum,刺苞茄
Solanum capsicoides,牛茄子
Solanum carolinense,北美刺茄
Solanum chrysotrichum,多裂水茄
Solanum deflexicarpum,苦刺
Solanum diphyllum,玛瑙珠
Solanum dulcamara,欧白英
Solanum elaeagnifolium,银叶茄
Solanum erianthum,假烟叶树
Solanum griffithii,膜萼茄
Solanum japonense,野海茄
Solanum laciniatum,澳洲茄
Solanum lasiocarpum,毛茄
Solanum laxum,素馨叶白英
Solanum luzoniense,吕宋茄
Solanum lycopersicum,番茄
Solanum lyratum,白英
Solanum macaonense,山茄
Solanum mammosum,乳茄
Solanum mauritianum,野烟树
Solanum melongena,茄
Solanum merrillianum,光枝木龙葵
Solanum miyakojimense,宫古茄
Solanum muricatum,香瓜茄
Solanum nienkui,疏刺茄
Solanum nigrum,龙葵
Solanum opacum,暗淡龙葵
Solanum peikuoensis,白狗大山茄
Solanum pittosporifolium,海桐叶白英
Solanum procumbens,海南茄
Solanum pseudocapsicum,珊瑚樱
Solanum rostratum,黄花刺茄
Solanum sarrachoides,毛龙葵
Solanum scabrum,木龙葵
Solanum seaforthianum,南青杞
Solanum septemlobum,青杞
Solanum sisymbriifolium,蒜芥茄
Solanum spirale,旋花茄
Solanum torvum,水茄
Solanum trilobatum,三浅裂茄
Solanum tuberosum,马铃薯
Solanum undatum,野茄
Solanum viarum,毛果茄
Solanum villosum,红果龙葵
Solanum violaceum,刺天茄
Solanum virginianum,黄果茄
Solanum wendlandii,天堂花
Solanum wrightii,大花茄
Tubocapsicum anomalum,龙珠
Withania somnifera,睡茄
Sphenoclea,楔瓣花属
Sphenoclea zeylanica,楔瓣花
Stachyurus,旌节花属
Stachyurus chinensis,中国旌节花
Stachyurus cordatulus,滇缅旌节花
Stachyurus himalaicus,西域旌节花
Stachyurus obovatus,倒卵叶旌节花
Stachyurus retusus,凹叶旌节花
Stachyurus salicifolius,柳叶旌节花
Stachyurus yunnanensis,云南旌节花
Euscaphis,野鸦椿属
Staphylea,省沽油属
Turpinia,山香圆属
Euscaphis japonica,野鸦椿
Euscaphis japonica var. wupingensis,黄果野鸦椿
Staphylea bumalda,省沽油
Staphylea campanulata,钟果省沽油
Staphylea forrestii,嵩明省沽油
Staphylea holocarpa,膀胱果
Staphylea holocarpa var. rosea,玫红省沽油
Staphylea shweliensis,腺齿省沽油
Staphylea yuanjiangensis,元江省沽油
Turpinia affinis,硬毛山香圆
Turpinia arguta,锐尖山香圆
Turpinia arguta var. pubescens,绒毛锐尖山香圆
Turpinia cochinchinensis,越南山香圆
Turpinia indochinensis,疏脉山香圆
Turpinia macrosperma,大籽山香圆
Turpinia montana,山香圆
Turpinia ovalifolia,卵叶山香圆
Turpinia pomifera var. minor,山麻风树
Turpinia robusta,粗壮山香圆
Turpinia simplicifolia,亮叶山香圆
Turpinia subsessilifolia,心叶山香圆
Turpinia ternata,三叶山香圆
Croomia,金刚大属
Stemona,百部属
Croomia japonica,金刚大
Stemona japonica,百部
Stemona kerrii,克氏百部
Stemona mairei,云南百部
Stemona parviflora,细花百部
Stemona sessilifolia,直立百部
Stemona shandongensis,山东百部
Stemona tuberosa,大百部
Gomphandra,粗丝木属
Gomphandra luzoniensis,吕宋粗丝木
Gomphandra mollis,毛粗丝木
Gomphandra tetrandra,粗丝木
Ravenala,旅人蕉属
Strelitzia,鹤望兰属
Ravenala madagascariensis,旅人蕉
Strelitzia alba,扇芭蕉
Strelitzia nicolai,大鹤望兰
Strelitzia reginae,鹤望兰
Stylidium,花柱草属
Stylidium tenellum,狭叶花柱草
Stylidium uliginosum,花柱草
Alniphyllum,赤杨叶属
Bruinsmia,歧序安息香属
Changiostyrax,长果安息香属
Huodendron,山茉莉属
Melliodendron,陀螺果属
Parastyrax,茉莉果属
Perkinsiodendron,银钟花属
Pterostyrax,白辛树属
Rehderodendron,木瓜红属
Sinojackia,秤锤树属
Styrax,安息香属
Alniphyllum eberhardtii,滇赤杨叶
Alniphyllum fortunei,赤杨叶
Alniphyllum pterospermum,台湾赤杨叶
Bruinsmia polysperma,歧序安息香
Changiostyrax dolichocarpus,长果安息香
Huodendron biaristatum,双齿山茉莉
Huodendron biaristatum var. biaristatum,双齿山茉莉(原变种)
Huodendron biaristatum var. parviflorum,岭南山茉莉
Huodendron tibeticum,西藏山茉莉
Huodendron tomentosum,绒毛山茉莉
Huodendron tomentosum var. guangxiense,广西山茉莉
Huodendron tomentosum var. tomentosum,绒毛山茉莉(原变种)
Melliodendron xylocarpum,陀螺果
Parastyrax lacei,茉莉果
Perkinsiodendron macgregorii,银钟花
Pterostyrax corymbosus,小叶白辛树
Pterostyrax psilophyllus,白辛树
Rehderodendron indochinense,越南木瓜红
Rehderodendron kwangtungense,广东木瓜红
Rehderodendron kweichowense,贵州木瓜红
Rehderodendron macrocarpum,木瓜红
Rehderodendron macrophyllum,大叶木瓜红
Rehderodendron microcarpum,小果木瓜红
Sinojackia henryi,棱果秤锤树
Sinojackia huangmeiensis,黄梅秤锤树
Sinojackia microcarpa,细果秤锤树
Sinojackia oblongicarpa,怀化秤锤树
Sinojackia rehderiana,狭果秤锤树
Sinojackia sarcocarpa,肉果秤锤树
Sinojackia xylocarpa,秤锤树
Sinojackia xylocarpa var. leshanensis,乐山秤锤树
Sinojackia xylocarpa var. xylocarpa,秤锤树(原变种)
Styrax agrestis,喙果安息香
Styrax argentifolius,银叶安息香
Styrax bashanensis,巴山安息香
Styrax benzoides,滇南安息香
Styrax benzoin,印度安息香
Styrax buchananii,中缅安息香
Styrax calvescens,灰叶安息香
Styrax chinensis,中华安息香
Styrax chrysocarpus,黄果安息香
Styrax confusus,赛山梅
Styrax confusus var. microphyllus,小叶赛山梅
Styrax confusus var. superbus,华丽赛山梅
Styrax dasyanthus,垂珠花
Styrax faberi,白花龙
Styrax faberi var. amplexifolius,抱茎白花龙
Styrax faberi var. formosanus,苗栗白花龙
Styrax finlaysonianus,中越安息香
Styrax formosanus,台湾安息香
Styrax formosanus var. hirtus,长柔毛安息香
Styrax grandiflorus,大花野茉莉
Styrax hainanensis,厚叶安息香
Styrax hemsleyanus,老鸹铃
Styrax huanus,墨泡
Styrax hwangiae,淑美安息香
Styrax japonicus,野茉莉
Styrax japonicus var. calycothrix,毛萼野茉莉
Styrax limprichtii,楚雄安息香
Styrax macranthus,绿春安息香
Styrax macrocarpus,大果安息香
Styrax obassia,玉铃花
Styrax odoratissimus,芬芳安息香
Styrax perkinsiae,瓦山安息香
Styrax roseus,粉花安息香
Styrax rugosus,皱叶安息香
Styrax serrulatus,齿叶安息香
Styrax suberifolius,栓叶安息香
Styrax suberifolius var. hayataianus,台北安息香
Styrax supaii,裂叶安息香
Styrax tonkinensis,越南安息香
Styrax wilsonii,小叶安息香
Styrax wuyuanensis,婺源安息香
Styrax zhejiangensis,浙江安息香
Suriana,海人树属
Suriana maritima,海人树
Cordyloblaste,革瓣山矾属
Symplocos,山矾属
Cordyloblaste confusa,南岭革瓣山矾
Cordyloblaste pendula,吊钟革瓣山矾
Symplocos adenophylla,腺叶山矾
Symplocos adenopus,腺柄山矾
Symplocos anomala,薄叶山矾
Symplocos arisanensis,阿里山山矾
Symplocos atriolivacea,橄榄山矾
Symplocos austrosinensis,南国山矾
Symplocos botryantha,总状山矾
Symplocos chaoanensis,潮安山矾
Symplocos chinensis,华山矾
Symplocos cochinchinensis,越南山矾
Symplocos cochinchinensis var. angustifolia,狭叶山矾
Symplocos cochinchinensis var. cochinchinensis,越南山矾(原变种)
Symplocos cochinchinensis var. philippinensis,兰屿山矾
Symplocos congesta,密花山矾
Symplocos coreana,朝鲜白檀
Symplocos crassilimba,厚叶山矾
Symplocos dolichotricha,长毛山矾
Symplocos dryophila,坚木山矾
Symplocos euryoides,柃叶山矾
Symplocos fordii,三裂山矾
Symplocos fukienensis,福建山矾
Symplocos glandulifera,腺缘山矾
Symplocos glauca,羊舌树
Symplocos glauca var. epapillata,无乳杂羊舌树
Symplocos glauca var. glauca,羊舌树(原变种)
Symplocos glomerata,团花山矾
Symplocos groffii,毛山矾
Symplocos hainanensis,海南山矾
Symplocos hookeri,滇南山矾
Symplocos hookeri var. hookeri,滇南山矾(原变种)
Symplocos hookeri var. tomentosa,绒毛滇南山矾
Symplocos lancifolia,光叶山矾
Symplocos lucida,光亮山矾
Symplocos menglianensis,孟连山矾
Symplocos migoi,宜兰山矾
Symplocos modesta,长梗山矾
Symplocos nokoensis,能高山矾
Symplocos ovatilobata,单花山矾
Symplocos paniculata,日本白檀
Symplocos paucinervia,少脉山矾
Symplocos phyllocalyx,叶萼山矾
Symplocos pilosa,柔毛山矾
Symplocos poilanei,丛花山矾
Symplocos prunifolia,黑山山矾
Symplocos pseudobarberina,铁山矾
Symplocos pyrifolia,梨叶山矾
Symplocos racemosa,珠仔树
Symplocos ramosissima,多花山矾
Symplocos sawafutagi,琉璃白檀
Symplocos spectabilis,绿春山矾
Symplocos stellaris,老鼠屎
Symplocos stellaris var. aenea,铜绿山矾
Symplocos stellaris var. stellaris,老鼠屎(原变种)
Symplocos sulcata,沟槽山矾
Symplocos sumuntia,山矾
Symplocos tanakana,白檀
Symplocos theophrastifolia,黄牛奶树
Symplocos ulotricha,卷毛山矾
Symplocos vacciniifolia,乌饭树叶山矾
Symplocos viridissima,绿枝山矾
Symplocos wikstroemiifolia,微毛山矾
Symplocos xylopyrena,木核山矾
Symplocos yangchunensis,阳春山矾
Talinum,土人参属
Talinum paniculatum,土人参
Myricaria,水柏枝属
Myrtama,秀柏枝属
Reaumuria,红砂属
Tamarix,柽柳属
Myricaria albiflora,白花水柏枝
Myricaria bracteata,宽苞水柏枝
Myricaria laxiflora,疏花水柏枝
Myricaria paniculata,三春水柏枝
Myricaria platyphylla,宽叶水柏枝
Myricaria prostrata,匍匐水柏枝
Myricaria pulcherrima,心叶水柏枝
Myricaria rosea,卧生水柏枝
Myricaria squamosa,具鳞水柏枝
Myricaria wardii,小花水柏枝
Myrtama elegans,秀柏枝
Reaumuria alternifolia,互叶红砂
Reaumuria kaschgarica,五柱红砂
Reaumuria minfengensis,民丰红砂
Reaumuria songarica,红砂
Reaumuria trigyna,黄花红砂
Tamarix androssowii,白花柽柳
Tamarix aphylla,无叶柽柳
Tamarix arceuthoides,密花柽柳
Tamarix austromongolica,甘蒙柽柳
Tamarix chinensis,柽柳
Tamarix elongata,长穗柽柳
Tamarix gansuensis,甘肃柽柳
Tamarix gracilis,翠枝柽柳
Tamarix hispida,刚毛柽柳
Tamarix hohenackeri,多花柽柳
Tamarix jintaensis,金塔柽柳
Tamarix karelinii,盐地柽柳
Tamarix laxa,短穗柽柳
Tamarix laxa var. laxa,短穗柽柳(原变种)
Tamarix laxa var. polystachya,伞花短穗柽柳
Tamarix leptostachya,细穗柽柳
Tamarix ramosissima,多枝柽柳
Tamarix sachensis,莎车柽柳
Tamarix taklamakanensis,沙生柽柳
Tamarix tarimensis,塔里木柽柳
Tapiscia,瘿椒树属
Tapiscia sinensis,瘿椒树
Tapiscia yunnanensis,云南瘿椒树
Tetrameles,四数木属
Tetrameles nudiflora,四数木
Apterosperma,圆籽荷属
Camellia,山茶属
Polyspora,大头茶属
Pyrenaria,核果茶属
Schima,木荷属
Stewartia,紫茎属
Apterosperma oblata,圆籽荷
Camellia amplexifolia,抱茎短蕊茶
Camellia anlungensis,安龙瘤果茶
Camellia anlungensis var. acutiperulata,尖苞瘤果茶
Camellia assimiloides,大萼毛蕊茶
Camellia azalea,杜鹃叶山茶
Camellia brevistyla,短柱茶
Camellia candida,白毛蕊茶
Camellia caudata,长尾毛蕊茶
Camellia caudata var. gracilis,小长尾毛蕊菜
Camellia chekiangoleosa,浙江红山茶
Camellia chinmeii,锦美山茶
Camellia chrysanthoides,薄叶金花茶
Camellia cordifolia,心叶毛蕊茶
Camellia cordifolia var. glabrisepala,光萼心叶毛蕊茶
Camellia costata,突肋茶
Camellia costei,贵州连蕊茶
Camellia crapnelliana,红皮糙果茶
Camellia crassicolumna,厚轴茶
Camellia crassicolumna var. multiplex,光萼厚轴茶
Camellia crassipes,厚柄连蕊茶
Camellia cupiformis,滇南连蕊茶
Camellia cuspidata,尖连蕊茶
Camellia cuspidata var. chekiangensis,浙江尖连蕊茶
Camellia cuspidata var. grandiflora,大花尖连蕊茶
Camellia cuspidata var. trichandra,毛丝连蕊茶
Camellia debaoensis,德保金花茶
Camellia drupifera,越南油茶
Camellia edithae,尖萼红山茶
Camellia elongata,长管连蕊茶
Camellia euphlebia,显脉金花茶
Camellia euryoides,柃叶连蕊茶
Camellia euryoides var. nokoensis,毛蕊柃叶连蕊茶
Camellia fangchengensis,防城茶
Camellia fascicularis,簇蕊金花茶
Camellia flavida,淡黄金花茶
Camellia flavida var. flavida,淡黄金花茶(原变种)
Camellia flavida var. patens,多变淡黄金花茶
Camellia fluviatilis,窄叶短柱茶
Camellia fluviatilis var. megalantha,大花窄叶油茶
Camellia forrestii,蒙自连蕊茶
Camellia forrestii var. acutisepala,尖萼连蕊茶
Camellia forrestii var. pentamera,膜萼云南连蕊茶
Camellia fraterna,毛柄连蕊茶
Camellia fraterna f. amoena,粉花连蕊茶
Camellia furfuracea,糙果茶
Camellia furfuracea var. latipetiolate,阔柄糙果茶
Camellia furfuracea var. shanglinensis,上林糙果茶
Camellia gaudichaudii,硬叶糙果茶
Camellia gilbertii,中越短蕊茶
Camellia glabricostata,秃助连蕊茶
Camellia gracilipes,狭叶长梗茶
Camellia grandibracteata,大苞茶
Camellia granthamiana,大苞山茶
Camellia grijsii,长瓣短柱茶
Camellia grijsii var. shensiensis,小叶短柱茶
Camellia gymnogyna,秃房茶
Camellia hainanica,海南油茶
Camellia hekouensis,河口超长柄茶
Camellia hiemalis,冬红短柱茶
Camellia hongkongensis,香港红山茶
Camellia hsinpeiensis,小花山茶
Camellia huana,贵州金花茶
Camellia ilicifolia,冬青叶山茶
Camellia ilicifolia var. neriifolia,狭叶瘤果茶
Camellia impressinervis,凹脉金花茶
Camellia indochinensis,中越山茶
Camellia indochinensis var. tunghinensis,东兴金花茶
Camellia japonica,山茶
Camellia japonica var. rusticana,短柄山茶
Camellia kissi var. confusa,大叶落瓣油茶
Camellia kissii,落瓣油茶
Camellia kissii var. confusa,大叶落瓣油茶
Camellia kissii var. kissii,落瓣油茶(原变种)
Camellia kwangsiensis,广西茶
Camellia kwangsiensis var. kwangnanica,毛萼广西茶
Camellia lawii,四川毛蕊茶
Camellia leptophylla,膜叶茶
Camellia longicalyx,长萼连蕊茶
Camellia longipedicellata,长梗茶
Camellia longissima,超长柄茶
Camellia lucidissima,闪光红山茶
Camellia lucidissima subsp. jingningensis,景宁白山茶
Camellia lucidissima subsp. lucidissima,闪光红山茶(原亚种)
Camellia lutchuensis,台湾连蕊茶
Camellia lutchuensis var. minutiflora,微花连蕊茶
Camellia luteocalpandria,云南管蕊茶
Camellia luteoflora,小黄花茶
Camellia mairei f. alba,毛蕊山茶
Camellia mairei var. lapidea,石果毛蕊山茶
Camellia mairei var. velutina,滇南毛蕊山茶
Camellia maliflora,樱花短柱茶
Camellia maoniushanensis,牦牛山山茶
Camellia melliana,广东毛蕊茶
Camellia micrantha,小花金花茶
Camellia microphylla,细叶短柱茶
Camellia microphylla f. microphylla,细叶短柱茶(原变型)
Camellia microphylla f. rubida,红花短柱茶
Camellia mileensis,弥勒糙果茶
Camellia mileensis var. microphylla,小叶弥勒糙果茶
Camellia mingii,富宁金花茶
Camellia oleifera,油茶
Camellia pachyandra,厚短蕊茶
Camellia parviflora,细花短蕊茶
Camellia parvimuricata,小瘤果茶
Camellia parvimuricata var. hupehensis,大萼小瘤果茶
Camellia parvimuricata var. songtaoensis,光枝小瘤果茶
Camellia paucipunctata,腺叶离蕊茶
Camellia perpetua,四季花金花茶
Camellia petelotii,金花茶
Camellia petelotii var. microcarpa,小果金花茶
Camellia pilosperma,毛籽短蕊茶
Camellia pingguoensis,平果金花茶
Camellia pingguoensis var. terminalis,顶生金花茶
Camellia pitardii,西南红山茶
Camellia pitardii var. compressa,多变西南山茶
Camellia pitardii var. cryptoneura,隐脉西南山茶
Camellia pitardii var. panxiensis,攀西白黄山茶
Camellia polyodonta,多齿红山茶
Camellia polyodonta var. longicaudata,长尾多齿山茶
Camellia psilocarpa,亮果红山茶
Camellia ptilophylla,毛叶茶
Camellia pubifurfuracea,毛糙果茶
Camellia pubipetala,毛瓣金花茶
Camellia punctata,斑枝毛蕊茶
Camellia pyxidiacea,三江瘤果茶
Camellia pyxidiacea var. rubituberculata,红花三江瘤果茶
Camellia renshanxiangiae,毛药山茶
Camellia reticulata,滇山茶
Camellia rhytidocarpa,皱果茶
Camellia rhytidocarpa var. microphylla,小叶皱果茶
Camellia rosaeflora,玫瑰连蕊茶
Camellia rosthorniana,川鄂连蕊荼
Camellia rostrata,喙果金花茶
Camellia salicifolia,柳叶毛蕊茶
Camellia saluenensis,怒江红山茶
Camellia semiserrata,南山茶
Camellia semiserrata var. magnocarpa,大果南山茶
Camellia sinensis,茶
Camellia sinensis var. assamica,普洱茶
Camellia sinensis var. dehungensis,德宏茶
Camellia sinensis var. pubilimba,白毛茶
Camellia sinensis var. sinensis,茶(原变种)
Camellia stuartiana,五室连蕊茶
Camellia subintegra,全缘红山茶
Camellia synaptica,川滇连蕊茶
Camellia synaptica var. parviovata,毛蕊川滇连蕊茶
Camellia szechuanensis,半宿萼茶
Camellia szemaoensis,思茅短蕊茶
Camellia tachangensis,大厂茶
Camellia tachangensis var. remotiserrata,疏齿大厂茶
Camellia taliensis,大理茶
Camellia tenii,大姚短柱茶
Camellia transarisanensis,阿里山连蕊茶
Camellia trichoclada,毛枝连蕊茶
Camellia tsaii,云南连蕊茶
Camellia tsingpienensis,金屏连蕊茶
Camellia tsingpienensis var. macrophylla,大叶屏边连蕊茶
