Acrobolbus,顶苞苔属
Cololejeunea chinii,薄壁硬鳞苔
Cololejeunea denticulata,细齿疣鳞苔
Cololejeunea desciscens,线瓣疣鳞苔
Cololejeunea diaphana,半透疣鳞苔
Cololejeunea dinghuiana,鼎湖疣鳞苔
Cololejeunea dozyana,匙叶疣鳞苔
Cololejeunea equialbi,平叶疣鳞苔
Cololejeunea falcata,镰叶疣鳞苔
Cololejeunea filicis,楔瓣疣鳞苔
Cololejeunea flavida,褐疣鳞苔
Cololejeunea floccosa,棉毛疣鳞苔
Cololejeunea gottschei,格氏疣鳞苔
Cololejeunea grossepapillosa,粗疣小鳞苔
Cololejeunea hainanensis,海南疣鳞苔
Cololejeunea haskarliana,密刺硬鳞苔
Cololejeunea horikawana,崛川疣鳞苔
Cololejeunea indosinica,长瓣疣鳞苔
Cololejeunea inflata,白边疣鳞苔
Cololejeunea inflectens,双齿隐鳞苔
Cololejeunea japonica,东方疣鳞苔
Cololejeunea kodamae,拟单胞疣鳞苔
Cololejeunea lanciloba,狭瓣疣鳞苔
Cololejeunea latilobula,阔瓣疣鳞苔
Cololejeunea latistyla,阔体疣鳞苔
Cololejeunea longifolia,鳞叶疣鳞苔
Cololejeunea macounii,距齿疣鳞苔
Cololejeunea madothecoides,大苞疣鳞苔
Cololejeunea magnilobula,大瓣疣鳞苔
Cololejeunea magnistyla,条瓣疣鳞苔
Cololejeunea minutissima,圆叶疣鳞苔
Cololejeunea obliqua,粗萼疣鳞苔
Cololejeunea ocellata,列胞疣鳞苔
Cololejeunea ocelloides,多胞疣鳞苔
Cololejeunea ornata,粗柱疣鳞苔
Cololejeunea peraffinis,粗疣鳞苔
Cololejeunea planissima,粗齿疣鳞苔
Cololejeunea platyneura,假肋疣鳞苔
Cololejeunea pluridentata,多齿疣鳞苔
Cololejeunea pseudocristallina,尖叶疣鳞苔
Cololejeunea pseudofloccosa,拟棉毛疣鳞苔
Cololejeunea pseudoplagiophylla,拟斜叶疣鳞苔
Cololejeunea pseudoschmidtii,拟日本疣鳞苔
Cololejeunea raduliloba,拟疣鳞苔
Cololejeunea rotundilobula,圆瓣疣鳞苔
Cololejeunea schmidtii,许氏疣鳞苔
Cololejeunea schwabei,全缘疣鳞苔
Cololejeunea serrulata,锯齿疣鳞苔
Cololejeunea shibiensis,卵叶疣鳞苔
Cololejeunea shikokiana,东亚疣鳞苔
Cololejeunea sigmoidea,单胞疣鳞苔
Cololejeunea sintenisii,岩生小鳞苔
Cololejeunea sphaerodonta,短齿疣鳞苔
Cololejeunea spinosa,刺疣鳞苔
Cololejeunea stephanii,斯氏疣鳞苔
Cololejeunea stylosa,副体疣鳞苔
Cololejeunea subfloccosa,短肋疣鳞苔
Cololejeunea subkodamae,疣瓣疣鳞苔
Cololejeunea subocelloides,拟多胞疣鳞苔
Cololejeunea tenella,南亚疣鳞苔
Cololejeunea tianmuensis,天目疣鳞苔
Cololejeunea trichomanis,单体疣鳞苔
